"TYPE","PARENT","STATE","COMPLETED","FOCUS","NAME","TAGS","TIME","ENERGY","WAITINGFOR","STARTDATE","DUEDATE","NOTES",
"Task","Standalone","Logbook","2024-8-20","","set up oncall accounts","","","","","","","",
"Task","AP dash create/edit user","Logbook","2024-8-19","","Address PR feedback and re-request-review","","","","","","","https://github.com/canary-technologies-corp/canarytech_dev/pull/16435",
"Task","AP dash create/edit user","Logbook","2024-8-19","","Item mutation logic","","","","","","","",
"Task","Administrivia","Logbook","2025-6-26","","decide what to do with this mfa story","","","","","","","https://linear.app/canary-technologies/issue/COR-1868/requires-mfa-check-is-too-stringent-doesnt-require-mfa-often-enough",
"Task","Standalone","Logbook","2024-8-20","","Reviews","","","","","","","",
"Task","Standalone","Logbook","2024-9-5","","Ask stephen how he was getting the data when we were debugging wyndham role","","","","","","","",
"Task","Standalone","Logbook","2024-8-20","","better uptime tab","","","","","","","",
"Task","Standalone","Logbook","2024-8-27","","Check on GDPR job progress","","","","","","","https://linear.app/canary-technologies/issue/ONC-5808/wyndham-gdpr-takedown-request",
"Task","Wyndham","Logbook","2024-8-22","","Address thsi ""admin"" confusion wyndham","","","","","","","https://linear.app/canary-technologies/issue/COR-1872/fr-wyndham-show-wyndham-gm-role-as-admin-in-canary",
"Task","Wyndham","Logbook","2024-8-26","","Get chat swap and other Wyndham support tickets ready for sprint","","30","High","","","","Modify ED to make practical",
"Task","Wyndham","Logbook","2024-8-22","","Check on this permissions ticket","","","","","","","https://linear.app/canary-technologies/issue/COR-1882/consider-if-we-need-more-permissions-for-feedback-configurationhttps://linear.app/canary-technologies/issue/COR-1883/support-cant-access-feedback-configuration-link",
"Task","Standalone","Logbook","2024-8-22","","Full nirvana","","","","","","","",
"Task","Standalone","Logbook","2024-8-21","","reviews and own PRs","","","","","","","",
"Task","Standalone","Logbook","2024-8-22","","review joshua VGS notes","","","","","","","",
"Task","AP dash create/edit user","Logbook","2024-8-22","","Don't send empty string for image","","","","","","","",
"Task","AP dash create/edit user","Logbook","2024-8-22","","When there are no changes to the user, the save button is active but pressing it triggers an error (but seemingly no network request)","","","","","","","",
"Task","AP dash create/edit user","Logbook","2024-8-22","","change detection broken in hotel staff (no updates)","","","","","","","",
"Project","Standalone","Logbook","2024-9-4","","APD portfolio/property modals","","","","","","","",
"Task","APD portfolio/property modals","Logbook","2024-8-22","","mini ED","","","","","","","",
"Task","Standalone","Logbook","2024-8-22","","Review SR","","15","High","","","","https://github.com/canary-technologies-corp/canarytech_dev/pull/16540",
"Task","Standalone","Logbook","2024-8-22","","review SR/MP","","","","","","","https://github.com/canary-technologies-corp/canarytech_dev/pull/16505",
"Task","Standalone","Logbook","2024-8-23","","review JH formstack","","","","","","","https://github.com/canary-technologies-corp/canarytech_dev/pull/16633/files#diff-72ccbc8f9a2c3fef9d186f25b2f268f47384214aa099a8f2a63cfce6d94776ad",
"Project","Standalone","Logbook","2024-9-5","","Sometime","","","","","","","",
"Task","APD portfolio/property modals","Logbook","2024-8-22","","Portfolio working end to end, and PR","","","","","","","",
"Task","Standalone","Logbook","2024-8-22","","Pet fee - make changes to align","","","","","","","",
"Task","Standalone","Logbook","2024-8-23","","ask SR to revise teh chat ED","","","","","","","",
"Task","APD portfolio/property modals","Logbook","2024-8-23","","Property working end to end","","","","","","","",
"Task","Standalone","Logbook","2024-8-26","","Fix PR and get approved","","","","","","","https://github.com/canary-technologies-corp/canarytech_dev/pull/16611",
